artist,hottness
The Rosenberg Trio,0.505607
Darin,0.789606
Hail of Bullets,0.521543
Running Wild,0.575441
Édith Piaf,0.645055
Roy Ayers,0.600761
Felt,0.566221
Michael Monroe,0.583659
Valerie June,0.608043
Litfiba,0.599388
Hoobastank,0.666486
Black Moth Super Rainbow,0.598575
The Motels,0.575738
Kimbra,0.629983
Борис Гребенщиков,0.616702
Dead Meadow,0.596488
Nothnegal,0.43437
Model,0.725175
Be'lakor,0.587284
Manfred Mann,0.585558
Kris Kristofferson,0.622546
Dernière Volonté,0.465007
Lee "Scratch" Perry,0.60547
Egypt Central,0.601155
Illdisposed,0.514301
Everlast,0.6141
Brujeria,0.50885
Izegrim,0.477849
Cowboy Junkies,0.603659
Aaron,0.705124
Jacob Miller,0.585984
Hellhammer,0.516105
Outasight,0.588633
Adhitia Sofyan,0.516469
Brothers Johnson,0.630505
Raider Klan,0.588985
Vast,0.584835
Alan Watts,0.488089
Cidadão Quem,0.545957
One Morning Left,0.546847
Lily & Madeleine,0.58577
Country Joe & The Fish,0.543593
Kings of Convenience,0.643239
Suicide,0.573821
Tilt,0.543552
Medicine,0.590057
Hüsker Dü,0.581636
Максим Леонидов,0.479295
Sin City Sinners,0.430542
Pięć Dwa Dębiec,0.511815
Mike & The Mechanics,0.608032
Glamour of the Kill,0.571399
Steve Roach,0.511733
Carlos Méndez,0.424054
Deep,0.521714
Wayne Shorter,0.609224
El Reloj,0.443562
Refused,0.614992
E.M.I.L.,0.41388
Van Stephenson,0.424853
Yung Gleesh,0.518918
Midnight Syndicate,0.565348
Melody's Echo Chamber,0.614691
Summer Camp,0.593877
Dobie,0.488193
Clairy Browne & The Bangin' Rackettes,0.558846
EMF,0.651937
Rick James,0.630093
Jettblack,0.515798
Subvision,0.50245
Broken Hope,0.544179
The Republic of Wolves,0.523771
Чёрный Кофе,0.447764
Box Car Racer,0.588515
Robert Palmer,0.582009
Bandari,0.497563
The Sound of Arrows,0.560662
Ubiquitous Synergy Seeker,0.426093
Pain,0.604241
José Feliciano,0.59848
Blackmill,0.666605
Regina Spektor,0.722986
Tomasz Stańko Quartet,0.422203
Alvin Lee,0.536342
Toots and The Maytals,0.606156
Zona Mc,0.383496
Planet Hemp,0.550357
T-Pain,0.663115
Trioscapes,0.509272
Mogg/Way,0.297588
Lizzy Borden,0.49375
Shaggy,0.820585
Klamydia,0.583754
Xavier Naidoo,0.623865
Akercocke,0.513859
The Chariot,0.573667
GWAR,0.595052
Laura Veirs,0.601889
Itch,0.544254
Outkast,0.732761
Sky Ferreira,0.643419
Ambrosia,0.570552
Lissie,0.655098
Jimmy Buffett,0.626582
Jeff Beal,0.587922
Lali Puna,0.583539
Crystal Castles,0.771377
Blouse,0.591458
Plasmatics,0.498684
S.O.S. Band,0.577952
Santa Cruz,0.554891
Wynardtage,0.541939
The Stranded,0.448608
The Brand New Heavies,0.597331
Kate Rusby,0.576804
Vasco Rossi,0.819819
Bal-Sagoth,0.521023
Boyzone,0.609295
Edgar Winter,0.551629
New Order,0.652868
Tanssiorkesteri Ässät,0.424993
Dragonette,0.753764
Yellowcard,0.643559
Minsk,0.520566
Deathspell Omega,0.556393
The Builders and the Butchers,0.508315
YUI,0.672733
Pino Donaggio,0.519139
Weather Report,0.606597
Krafty Kuts,0.513162
Magic Man,0.610454
Rising Son,0.337881
Filthy Christians,0.414023
Nana Grizol,0.553435
Andralls,0.427039
Marcelo D2,0.62693
Talking Heads,0.658094
Urge Overkill,0.603762
Accu§er,0.349753
Las Malas Amistades,0.445896
Lobão,0.548831
Enya,0.722048
Norther,0.582468
Angel Haze,0.627028
Maximum the Hormone,0.649591
Moonface,0.548658
The Moldy Peaches,0.577768
Beneath the Massacre,0.514296
Edvard Grieg,0.61355
Worlds Apart,0.505554
Lingua Mortis Orchestra,0.50366
London Music Works,0.582653
Johann Sebastian Bach,0.648879
Appino,0.510661
Karmate,0.568443
Bonnie Tyler,0.734411
Motorama,0.605673
Riccardo Fogli,0.517318
Eths,0.568594
Television,0.567013
Graveland,0.51188
Rock Mafia,0.58658
Nicolò Carnesi,0.502169
The Babys,0.542487
We Are Fiction,0.454405
Tribulation,0.547219
The Busters,0.540461
Skull Fist,0.569944
Giorgio Moroder,0.800836
Breaking Benjamin,0.81717
Looking Glass,0.558567
Alex Clare,0.625675
Gentleman,0.623745
Tad,0.531731
Acid King,0.591103
Switchtense,0.431639
Bruce Dickinson,0.615141
Boston,0.700462
